Customer ID,Customer Name,Age,Gender,City,Order Date,Order Time,Food Name,Food Type,Category,Quantity,Unit Price, Total Price ,Payment Method,Order Status,Delivery Status,Delivery Agent
25008,Michael Johnson,42,Male,Owerri,2024-05-03,16:58,Pepper Soup,Beverage,Protein-rich,2,3551," 7,102 ",Mobile Payment,Pending,In Progress,Agent E
46951,Ngozi Ade,19,Male,Port Harcourt,2024-08-10,14:06,Efo Riro,Side Dish,Vegetarian,2,3774," 7,548 ",Mobile Payment,Completed,Delivered,Agent C
81141,John Doe,19,Male,Port Harcourt,2024-03-14,15:08,Efo Riro,Main Dish,Fast Food,3,4788," 14,364 ",Transfer,Completed,Cancelled,Agent D
33090,Ngozi Ade,19,Female,Port Harcourt,2024-06-17,06:47,Moi Moi,Snack,Vegetarian,3,2802," 8,406 ",Transfer,Completed,In Progress,Agent A
88809,Ngozi Ade,26,Male,Calabar,2024-12-01,16:08,Boli & Groundnut,Side Dish,Fast Food,5,563," 2,815 ",Card,Cancelled,Delivered,Agent A
11205,David Ekene,26,Male,Kaduna,2024-12-28,17:53,Fried Rice,Side Dish,Fast Food,4,851," 3,404 ",Card,Cancelled,Failed,Agent C
16982,Chris Obi,27,Female,Enugu,2024-05-07,17:01,Moi Moi,Side Dish,Vegetarian,3,2741," 8,223 ",Cash,Cancelled,Cancelled,Agent B
15325,Ngozi Ade,46,Male,Kaduna,2024-01-21,13:14,Kilishi,Snack,Continental,2,1826," 3,652 ",Card,Completed,Cancelled,Agent A
61680,Chris Obi,45,Male,Ibadan,2024-06-26,21:43,Amala & Ewedu,Snack,Fast Food,2,826," 1,652 ",Cash,Cancelled,In Progress,Agent A
64453,Michael Johnson,27,Male,Enugu,2024-10-14,01:31,Fried Rice,Main Dish,Fast Food,5,2414," 12,070 ",Transfer,Completed,Failed,Agent A
70531,Fatima Danjuma,26,Male,Kano,2024-02-24,17:36,Kilishi,Snack,Protein-rich,4,960," 3,840 ",Mobile Payment,Cancelled,Delivered,Agent B
28739,Michael Johnson,22,Female,Calabar,2024-02-11,21:22,Pounded Yam & Egusi,Side Dish,Local,3,4369," 13,107 ",Cash,Pending,Cancelled,Agent A
35520,Chinedu Okafor,40,Male,Kano,2024-03-18,17:16,Pepper Soup,Beverage,Local,3,2567," 7,701 ",Cash,Pending,Delivered,Agent B
24615,Fatima Danjuma,58,Male,Calabar,2024-07-24,19:38,Akara,Side Dish,Vegetarian,2,1060," 2,120 ",Transfer,Cancelled,In Progress,Agent E
33777,Fatima Danjuma,20,Female,Kaduna,2024-11-27,08:09,Kilishi,Snack,Continental,5,526," 2,630 ",Cash,Completed,Delivered,Agent E
11865,Chris Obi,44,Female,Owerri,2024-04-01,09:10,Fried Rice,Snack,Local,5,857," 4,285 ",Card,Completed,Failed,Agent B
49100,David Ekene,44,Male,Kaduna,2024-04-26,14:40,Moi Moi,Snack,Vegetarian,4,1206," 4,824 ",Transfer,Pending,In Progress,Agent C
85480,Jane Smith,46,Female,Owerri,2024-04-12,15:18,Jollof Rice,Side Dish,Vegetarian,3,3379," 10,137 ",Mobile Payment,Pending,Delivered,Agent C
90100,Chinedu Okafor,33,Female,Owerri,2024-11-02,14:10,Jollof Rice,Dessert,Protein-rich,4,4873," 19,492 ",Transfer,Pending,Delivered,Agent C
16283,Olivia Martins,44,Female,Ibadan,2024-08-26,09:29,Akara,Dessert,Local,4,1664," 6,656 ",Mobile Payment,Cancelled,In Progress,Agent C
62670,Michael Johnson,34,Male,Port Harcourt,2024-10-21,01:40,Moi Moi,Snack,Local,5,4713," 23,565 ",Mobile Payment,Pending,Failed,Agent D
71578,Olivia Martins,26,Female,Kaduna,2024-07-28,03:23,Efo Riro,Main Dish,Continental,3,3517," 10,551 ",Card,Pending,In Progress,Agent D
80349,John Doe,35,Male,Abuja,2024-01-15,18:56,Jollof Rice,Beverage,Fast Food,4,3994," 15,976 ",Cash,Pending,Failed,Agent A
90777,Michael Johnson,30,Female,Lagos,2024-04-23,11:54,Fried Rice,Side Dish,Fast Food,3,1434," 4,302 ",Card,Pending,In Progress,Agent A
37730,Jane Smith,38,Female,Lagos,2024-08-22,22:36,Amala & Ewedu,Main Dish,Continental,5,3750," 18,750 ",Transfer,Completed,Cancelled,Agent E
57919,John Doe,35,Male,Abuja,2024-08-13,11:51,Amala & Ewedu,Beverage,Vegetarian,2,2394," 4,788 ",Cash,Pending,Delivered,Agent D
93817,Olivia Martins,53,Female,Benin,2024-12-07,04:22,Pounded Yam & Egusi,Snack,Local,1,3118," 3,118 ",Transfer,Cancelled,In Progress,Agent B
89075,Michael Johnson,57,Male,Ibadan,2024-11-27,01:18,Kilishi,Dessert,Local,4,4883," 19,532 ",Card,Completed,Failed,Agent A
30488,Fatima Danjuma,49,Male,Enugu,2024-06-28,03:38,Efo Riro,Dessert,Local,5,987," 4,935 ",Cash,Pending,Failed,Agent B
31493,Chinedu Okafor,51,Male,Benin,2024-12-14,20:29,Moi Moi,Dessert,Continental,4,2851," 11,404 ",Cash,Pending,Cancelled,Agent D
